ProdCodeId	mg_value
644941000033117	500.0
645041000033117	850.0
896941000033112	500.0
897041000033113	850.0
2620241000033119	100.0
2995141000033110	500.0
2995241000033115	500.0
3191341000033115	500.0
3191441000033114	500.0
3200541000033116	1000.0
3200641000033115	1000.0
3200741000033112	1000.0
3200841000033119	1000.0
3228141000033117	500.0
3228241000033112	500.0
3982341000033110	100.0
3982441000033116	100.0
3983941000033115	850.0
3984241000033114	850.0
4452341000033119	850.0
4452441000033113	1000.0
4452541000033114	1000.0
4452641000033110	850.0
4549141000033118	750.0
4549241000033113	750.0
4945241000033117	1000.0
4945341000033110	1000.0
4957741000033118	500.0
5007641000033119	500.0
5007741000033111	1000.0
5007841000033118	500.0
5007941000033114	1000.0
5132241000033116	1000.0
5576041000033115	1000.0
5997041000033115	100.0
6029841000033115	500.0
6279741000033117	1000.0
6391041000033117	500.0
7874941000033110	500.0
8115741000033119	1000.0
8115841000033112	850.0
8115941000033116	1000.0
8116041000033114	850.0
8242541000033112	850.0
8242641000033113	1000.0
8242741000033116	850.0
8242841000033114	1000.0
8348941000033113	1000.0
8959841000033119	1000.0
8959941000033110	1000.0
9230641000033113	500.0
9230841000033114	1000.0
10598841000033113	750.0
10598941000033117	1000.0
11781341000033117	200.0
11781441000033111	170.0
12326541000033110	500.0
12326641000033111	750.0
12326741000033119	1000.0
12593141000033115	500.0
12593241000033110	750.0
12593341000033117	1000.0
12664441000033115	500.0
13429041000033112	750.0
13606641000033119	500.0
13803041000033110	1000.0
13828541000033119	500.0
13828641000033118	850.0
14018041000033118	1000.0
14256541000033111	500.0
14454541000033117	850.0
14454641000033116	850.0
406841000033114	5.0
462041000033119	2.5
462141000033115	5.0
557241000033113	2.5
557341000033115	5.0
644541000033111	2.5
644641000033112	5.0
1278041000033114	2.5
5968741000033115	1.0
5968841000033113	1.0
13122541000033112	0.6
13122741000033116	0.6
249441000033114	100.0
249541000033110	250.0
1450941000033113	500.0
644741000033115	5.0
644841000033113	5.0
646541000033116	2.5
920141000033112	2.5
920241000033117	5.0
463541000033118	80.0
646441000033117	80.0
1602941000033117	80.0
2289441000033115	30.0
2289941000033113	30.0
3953041000033113	16.0
4941241000033119	30.0
5378141000033117	30.0
5709741000033116	40.0
5709841000033114	40.0
5815341000033115	30.0
5869241000033114	8.0
8298141000033113	60.0
8298241000033118	60.0
10043341000033116	30.0
10043441000033110	60.0
10701641000033116	30.0
10701741000033113	60.0
11918941000033116	30.0
12998941000033116	160.0
12999041000033113	160.0
13345341000033117	60.0
58841000033113	2.0
59541000033116	1.0
59641000033115	3.0
59741000033112	4.0
645841000033112	2.0
645941000033116	1.0
646041000033114	3.0
646141000033113	4.0
8125241000033119	1.2
8199341000033118	5.0
8199441000033112	10.0
8199541000033113	5.0
8199641000033114	10.0
9110341000033112	100.0
9110441000033118	300.0
9110541000033117	100.0
9110641000033116	300.0
9336641000033119	10.0
9336841000033118	25.0
9337141000033114	10.0
9337241000033119	25.0
11898041000033111	10.0
11898141000033110	10.0
12880941000033111	5.0
12881041000033118	15.0
12881141000033119	5.0
12881241000033114	15.0
13116741000033112	10.0
13116841000033119	25.0
13116941000033110	10.0
13117041000033111	25.0
