ProdCodeId	DMDCode	TermfromEMIS	ProductName	drugsubstancename	substancestrength	formulation	routeofadministration	bnfcode	DrugIssues
12593241000033110	35548011000001105	Yaltormin SR 750mg tablets (Wockhardt UK Ltd)	Yaltormin SR 750mg tablets	Metformin hydrochloride	750.000mg	Modified-release tablet	Oral		15847
12593341000033117	35548311000001108	Yaltormin SR 1000mg tablets (Wockhardt UK Ltd)	Yaltormin SR 1000mg tablets	Metformin hydrochloride	1.000gram	Modified-release tablet	Oral		240435
12664441000033115	35849011000001104	Metuxtan SR 500mg tablets (Accord-UK Ltd)	Metuxtan SR 500mg tablets	Metformin hydrochloride	500.000mg	Modified-release tablet	Oral		339
13429041000033112	38238111000001109	Sukkarto SR 750mg tablets (Morningside Healthcare Ltd)	Sukkarto SR 750mg tablets	Metformin hydrochloride	750.000mg	Modified-release tablet	Oral		27156
13606641000033119	38749111000001108	Glucorex SR 500mg tablets (GlucoRx Ltd)	Glucorex SR 500mg tablets	Metformin hydrochloride	500.000mg	Modified-release tablet	Oral		20356
13803041000033110	39461411000001102	Metformin 1g tablets	Metformin 1g tablets	Metformin hydrochloride	1.000gram	Tablet/ Oral Tablet	Oral	06010202	39988
13828541000033119	39573711000001106	Axpinet 500mg tablets (GlucoRx Ltd)	Axpinet 500mg tablets	Metformin hydrochloride	500.000mg	Tablet/ Oral Tablet	Oral		19027
13828641000033118	39573911000001108	Axpinet 850mg tablets (GlucoRx Ltd)	Axpinet 850mg tablets	Metformin hydrochloride	850.000mg	Tablet/ Oral Tablet	Oral		337
14018041000033118	40564111000001100	Jesacrin 1000mg modified-release tablets (Key Pharmaceuticals Ltd)	Jesacrin 1000mg modified-release tablets	Metformin hydrochloride	1.000gram	Modified-release tablet	Oral		6
14256541000033111	42385711000001105	Jesacrin 500mg modified-release tablets (Key Pharmaceuticals Ltd)	Jesacrin 500mg modified-release tablets	Metformin hydrochloride	500.000mg	Modified-release tablet	Oral		12
14454541000033117	43146111000001106	Metformin 850mg modified-release tablets	Metformin 850mg modified-release tablets	Metformin hydrochloride	850.000mg	Modified-release tablet	Oral	06010202	72
14454641000033116	43033811000001100	Glucophage SR 850mg tablets (Merck Serono Ltd)	Glucophage SR 850mg tablets	Metformin hydrochloride	850.000mg	Modified-release tablet	Oral		3
